Année,taille du marche,Croissance Economique,Ouverture Commerciale,Inflation,Taux de change,TSalaire Moyen,IDE
1960,61959085885.34274,2.6756559752545828,21.2204550989193,4.139935755184373,118.88967297852,22633.650793650795,621212781.7
1961,67158050215.04877,4.94642545980355,20.70786741942029,2.400461045463207,118.88967297852,22633.650793650795,621212781.7
1962,75196980365.0325,6.856264644847528,19.66701312766684,5.331280070656394,118.88967297852,1530.0,621212781.7
1963,84227606649.8725,6.103338858114896,20.12166874270985,4.999152897968408,118.88967297852,1680.0,621212781.7
1964,93424179943.34534,6.582806854374937,20.55891741479303,3.211191702931052,118.88967297852,1850.0,621212781.7
1965,100927668584.2896,4.838750112492434,20.37102440628493,2.703104558730842,118.88967297852,2020.0,621212781.7
1966,109306730313.2165,5.163542741906554,20.89624301682936,2.602000766364436,118.88967297852,2190.0,621212781.7
1967,118088635380.9543,4.801770808766719,20.31524873042033,2.791777094351502,118.88967297852,2350.0,621212781.7
1968,128710572572.436,4.544018211900266,20.91669663333118,4.543204864020145,118.88967297852,2540.0,621212781.7
1969,140660914840.5896,7.093646979940772,23.15142058965404,6.045962841738932,118.88967297852,2800.0,621212781.7
1970,147312861698.3583,6.200174386154657,25.27274235988513,5.299641245626748,118.88967297852,3000.0,621212781.7
1971,164694210962.4719,5.293446228369845,25.59106343428418,5.397518655951046,118.88967297852,3220.0,525655900.0
1972,201738881664.4994,4.514107599958322,26.49365335973577,6.063003097181869,118.88967297852,3630.0,656666980.5
1973,261970536240.4243,6.19458406640176,28.40281241845943,7.380601063989124,118.88967297852,4630.0,1125479246.6
1974,282739225313.6934,4.414713764073426,35.07719874734931,13.6493174728139,118.88967297852,5730.0,1846644387.7
1975,357324307786.4464,-0.9456096169123072,29.95793951526417,11.6859272493228,118.88967297852,6650.0,1563849883.25955
1976,368363152144.2229,4.337556474819635,32.83607475284142,9.625495781555292,118.88967297852,7070.0,977422843.564051
1977,406401711687.617,3.554155689764656,33.4070935469775,9.494554671904345,118.88967297852,7730.0,1896159371.65279
1978,501724418604.6512,3.949362163428717,32.12101983160402,9.250558467244304,118.88967297852,8740.0,2471468400.48404
1979,608218624730.1881,3.695310786771572,34.14906935678569,10.64673417166639,118.88967297852,10720.0,2588309412.66379
1980,694529183483.3903,1.676413371986115,36.12461592206085,13.56257884830163,118.88967297852,12950.0,3282773277.87031
1981,609184791792.3959,1.188314742938658,37.32479915182909,13.31440556800705,113.599741398808,13040.0,2469631624.9973
1982,578152310609.8413,2.442512686901253,36.73910768875934,11.97847195238055,108.45665110895,11900.0,1585298782.09975
1983,553356312935.7087,1.262057617970513,36.29668539144969,9.459548472353184,104.439534434411,10320.0,1725670868.53761
1984,525033325827.5163,1.609471465515952,38.46003483335785,7.673802622473207,102.723010849078,9710.0,2397989218.95718
1985,547220981165.1336,1.569074366041079,38.36201593605407,5.831099738545159,105.29543282313,9670.0,2595492779.80055
1986,764946585850.9329,2.389535544703335,33.25055692837168,2.538525917814165,109.067744397139,11230.0,3255870956.36327
1987,926320855614.9733,2.552746211430474,33.12653473577259,3.288898214001325,110.360717985242,14350.0,5139716801.65678
1988,1010827662151.745,4.814224001702456,34.29308605010869,2.700815275081126,108.392403674382,18400.0,8489906284.29327
1989,1016742237302.077,4.405169271905265,36.62511365595644,3.498302207007493,106.23756656258,19360.0,10303924628.9084
1990,1257649439826.527,2.829627153264781,35.86245782944186,3.194283380294748,109.957881605769,20470.0,13183285334.811
1991,1258961748633.88,1.236662482973557,35.65509440513911,3.213407324096874,105.837933330856,21270.0,15152742089.8423
1992,1389663073110.285,1.516061116962703,34.21757469137724,2.363760462693533,107.32542398426,23660.0,21839501253.074
1993,1314383368079.685,-0.3589978105146798,33.39740981669111,2.104462771246439,108.410141501682,23460.0,20754044035.6782
1994,1385822778827.977,2.383660861101447,35.83228733041627,1.655515329269929,108.16816088709,24260.0,15797125294.9865
1995,1595219345511.894,2.304792783922593,37.02017541734964,1.796481420955946,111.137007598952,25660.0,23736300874.0227
1996,1598889216566.226,1.397079871988808,37.5303675690995,1.982883650897377,110.618936508761,27020.0,21971888803.0023
1997,1449392222971.454,2.527061633935702,40.51153239916096,1.203942940269625,105.239755277362,26890.0,23047924754.7559
1998,1496906382032.466,3.452594342796161,41.98004681807621,0.6511268678330489,105.612242130224,25740.0,29518429032.2113
1999,1486915879701.934,3.399308088094415,43.12779281962806,0.5371416391346451,102.527923205856,25340.0,45971216472.0884
2000,1360959069477.493,4.140999964029149,48.97656475854971,1.675959887209273,97.089957800458,24950.0,41389082664.7627
2001,1370376677298.86,1.899467011866363,47.57721076260048,1.634780795496015,96.7793814943752,23800.0,50142053918.8909
2002,1492427756382.434,1.067750270694191,44.28897795375924,1.923412287270605,98.3843926386502,23040.0,51550483853.8508
2003,1835095983049.094,0.9678271825583522,43.09741873479114,2.098472191469232,103.768132016193,25900.0,42350800678.3508
2004,2109792297237.032,2.868250525010325,43.75079960282443,2.142089646402409,105.543015288381,31340.0,35608535812.8718
2005,2192146403028.17,1.888565841092856,44.137198075067,1.745869363804815,104.030572086955,35870.0,85137061931.2535
2006,2317861544690.82,2.714064487552363,44.7734681295828,1.675124496087232,103.358009101262,37920.0,78957053786.1349
2007,2655816911866.558,2.53048188351066,44.8251155672969,1.487998059538597,103.875893092934,40200.0,83777598395.4499
2008,2926802941585.859,0.3801714358491211,45.54577218231537,2.812861949147866,104.490770887266,43580.0,67997446904.9733
2009,2700075882518.982,-2.824551537147826,38.72683752222837,0.08762047815745524,104.537529981684,44090.0,18422928061.913
2010,2646230027988.338,2.000324760390512,42.88504733138041,1.53112270420926,100.0,44040.0,38889439213.3126
2011,2870408553990.278,2.43757653729007,45.86458600709908,2.111597951749941,99.2132251238219,44610.0,44205811126.5791
2012,2683007095787.227,0.1838352649730126,46.33319837103348,1.954195316135099,96.0143022547242,43500.0,32944663317.8722
2013,2816077607875.263,0.7817564462310003,44.82937531513936,0.8637154978618049,97.3328231942791,43950.0,33461592993.8228
2014,2861236112552.421,0.997832947295251,43.96736062714404,0.5077588229379902,97.3450167028106,43470.0,5063648998.48312
2015,2442483452642.499,1.066754747834622,44.09536526582322,0.03751438051251821,92.0447899427822,41130.0,43133325471.3567
2016,2470407619777.126,0.8600310754240326,43.26557250889744,0.1833348611238597,93.0161192187702,39020.0,35623357280.0881
2017,2588868323334.71,2.083614859973991,44.59987360472329,1.032282750646621,93.4971183831201,38120.0,43733253503.8812
2018,2781576320884.39,1.645908723958868,45.24998974681426,1.850815083155025,95.5709247307273,40960.0,77493098693.2377
2019,2722793515171.76,2.027446464192366,45.01292489389103,1.108254922882937,93.896767484404,42720.0,53499337503.7412
2020,2647926055110.046,-7.440645899482305,40.40649088123928,0.4764988527250658,94.9431966253733,39690.0,19368829836.4654
2021,2966433692008.092,6.882337833602392,43.82713840874396,1.642331410383848,94.422245531438,44300.0,98012545019.163
2022,2794788137066.937,2.716762641859134,51.6560443653201,5.222367483697351,90.1586657517032,46010.0,112295479269.655
2023,3056250648138.289,1.439214944377426,47.0936178247274,4.878357265084407,92.0143632866845,45770.0,18051596853.4685
2024,3160442622465.078,1.190467982758832,43.96317750316484,1.99904942291463,91.9709843604316,45160.0,52052548617.7634
